HS Code,HS Description,Country Name,Financial_Year,INR_Cr,USD_Mn
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,RUSSIA,2025-26,35969.4875119,4147.768105
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,RUSSIA,2026-27,15598.2943451,1657.675762
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,SAUDI ARAB,2019-20,2603.8496807,370.127049555
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,SAUDI ARAB,2020-21,2439.1061025,334.3961704115
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,SAUDI ARAB,2021-22,7255.2209891,980.1212444569
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,SAUDI ARAB,2022-23,9752.6319909,1266.8345175909
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,SAUDI ARAB,2023-24,2688.0877984,325.347753
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,SAUDI ARAB,2024-25,2697.2614063,322.205404
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,SAUDI ARAB,2025-26,1933.532521,222.247959
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,SAUDI ARAB,2026-27,1929.4528062,205.738314
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,U S A,2019-20,886.89962,126.4191866095
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,U S A,2020-21,794.114926,107.8721483223
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,U S A,2021-22,1420.3937513,192.7679063497
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,U S A,2022-23,1387.2490419,178.279510518
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,U S A,2023-24,1895.7403041,229.597143
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,U S A,2024-25,1525.1879735,182.521002
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,U S A,2025-26,2066.9174711,236.845409
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,U S A,2026-27,1224.999182,131.857743
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,ANGOLA,2019-20,6923.5847252,982.930897967
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,ANGOLA,2020-21,4494.1537698,610.1410047096
2711,PETRLM GASES AND OTHR GASEOUS HYDRCRBNS,ANGOLA,2021-22,4662.4964413,628.9461340665
